numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
0,0.6404,0.0420,0.9492,9.7786,3.5267,3.1832
1,0.6377,0.0149,0.9583,7.1832,0.6412,2.5725
2,0.6389,0.0029,0.9407,4.4580,1.9618,1.9237
3,0.6501,0.0107,0.9270,1.8321,2.0763,-0.3664
4,0.6458,0.0051,0.9382,3.9160,2.1603,2.0840
5,0.6472,0.0005,0.9343,3.9924,2.0534,2.0382
6,0.6458,0.0024,0.9431,4.1298,2.0458,1.9924
7,0.6436,0.0042,0.9331,4.3359,1.9466,2.0687
8,0.6411,0.0017,0.9355,3.9313,2.1832,1.8244
9,0.6426,0.0007,0.9404,4.3359,1.9695,1.9924
10,0.6455,0.0032,0.9373,4.2901,1.9389,2.1298
11,0.6426,0.0020,0.9377,4.0992,2.0153,2.1756
12,0.6482,0.0051,0.9407,3.9618,1.8244,2.2366
13,0.6436,0.0029,0.9412,4.3817,1.8855,1.8321
14,0.6396,0.0730,0.9294,-6.9084,8.3130,-8.2061
15,0.6365,0.0000,0.9624,12.2061,4.1603,5.9084
16,0.6150,0.2151,0.9109,136.5343,2.9695,-35.4733
17,0.5825,0.4326,0.8840,42.0840,1.8015,-12.3664
18,0.5942,0.2285,0.8979,-196.5725,21.4580,109.2061
19,0.5811,-0.0532,0.9468,-35.0305,14.7939,29.9389
20,0.5586,-0.0430,0.9814,30.6794,14.0076,23.3435
21,0.5730,0.2173,0.9468,117.9542,-11.6260,-53.8779
22,0.5112,0.1780,0.9329,-178.8168,9.3588,45.2977
23,0.5505,-0.0493,0.9890,7.2519,3.5420,8.5420
24,0.5776,0.3074,0.9924,120.1145,-7.3511,-41.4656
25,0.5774,0.0806,1.0195,-158.0992,1.5954,45.2443
26,0.5415,0.0535,1.0266,124.3588,-4.8702,-17.8168
27,0.6226,0.3401,1.0212,-128.7252,16.7099,30.3817
28,0.5583,-0.1118,0.9507,61.1374,0.6641,5.8855
29,0.5779,0.2456,0.9856,66.9160,-4.1527,-11.5420
30,0.5481,-0.0610,0.9705,-161.0916,0.5878,32.9466
31,0.5164,0.0530,0.9692,247.7863,-9.6260,-57.0992
32,0.5798,0.1963,0.9824,-186.1908,23.6565,64.1450
33,0.5281,-0.0706,0.9563,69.0916,4.8626,4.5649
34,0.6536,0.3931,1.0105,-168.3740,32.1603,48.5573
35,0.5359,-0.1360,0.9285,42.2595,-0.7557,5.0458
36,0.6448,0.3062,0.9578,89.5802,-3.9084,-29.2595
37,0.5103,-0.1111,0.9939,-250.1374,-8.7557,36.9618
38,0.5273,-0.0837,0.9487,173.8244,-4.1832,-11.8855
39,0.5859,0.3127,0.9143,122.0076,-12.9008,-30.3740
40,0.5750,0.4622,0.8481,46.4504,-1.3588,-8.5573
41,0.5525,0.5205,0.7964,34.3588,-4.3053,-7.4122
42,0.5525,0.6003,0.7727,37.7786,-8.1756,-10.2901
